State,Total Population,Murders and Nonnegligent Manslaughter,Murders,Gun Murders,Gun Ownership (%),Murders and Nonnegligent Manslaughter Rate (%),Murder Rate (%),Gun Murder Rate (%)
Alabama,4853875,348,3,3,48.9,7.2,0.1,0.1
Alaska,737709,59,57,39,61.7,8.0,7.7,5.3
Arizona,6817565,309,278,171,32.3,4.5,4.1,2.5
Arkansas,2977853,181,164,110,57.9,6.1,5.5,3.7
California,38993940,1861,1861,1275,20.1,4.8,4.8,3.3
Colorado,5448819,176,176,115,34.3,3.2,3.2,2.1
Connecticut,3584730,117,107,73,16.6,3.3,3.0,2.0
Delaware,944076,63,63,52,5.2,6.7,6.7,5.5
District of Columbia,670377,162,162,121,25.9,24.2,24.2,18.0
Florida,20244914,1041,— ,— ,32.5,5.1,— ,— 
Georgia,10199398,615,565,464,31.6,6.0,5.5,4.5
Hawaii,1425157,19,19,4,45.1,1.3,1.3,0.3
Idaho,1652828,32,30,24,56.9,1.9,1.8,1.5
Illinois,12839047,744,497,440,26.2,5.8,3.9,3.4
Indiana,6612768,373,272,209,33.8,5.6,4.1,3.2
Iowa,3121997,72,72,49,33.8,2.3,2.3,1.6
Kansas,2906721,128,125,91,32.2,4.4,4.3,3.1
Kentucky,4424611,209,209,141,42.4,4.7,4.7,3.2
Louisiana,4668960,481,474,379,44.5,10.3,10.2,8.1
Maine,1329453,23,23,16,22.6,1.7,1.7,1.2
Maryland,5994983,516,372,279,20.7,8.6,6.2,4.7
Massachusetts,6784240,128,126,81,22.6,1.9,1.9,1.2
Michigan,9917715,571,571,389,28.8,5.8,5.8,3.9
Minnesota,5482435,133,133,79,36.7,2.4,2.4,1.4
Mississippi,2989390,259,159,126,42.8,8.7,5.3,4.2
Missouri,6076204,502,499,418,27.1,8.3,8.2,6.9
Montana,1032073,36,36,18,52.3,3.5,3.5,1.7
Nebraska,1893765,62,61,43,19.8,3.3,3.2,2.3
Nevada,2883758,178,177,113,37.5,6.2,6.1,3.9
New Hampshire,1330111,14,14,8,14.4,1.1,1.1,0.6
New Jersey,8935421,363,353,255,11.3,4.1,4.0,2.9
New Mexico,2080328,117,94,56,49.9,5.6,4.5,2.7
New York,19747183,609,611,383,10.3,3.1,3.1,1.9
North Carolina,10035186,517,506,353,28.7,5.2,5.0,3.5
North Dakota,756835,21,17,9,47.9,2.8,2.2,1.2
Ohio,11605090,500,480,316,19.6,4.3,4.1,2.7
Oklahoma,3907414,234,233,149,31.2,6.0,6.0,3.8
Oregon,4024634,99,71,34,26.6,2.5,1.8,0.8
Pennsylvania,12791904,658,651,497,27.1,5.1,5.1,3.9
Rhode Island,1055607,29,27,10,5.8,2.7,2.6,0.9
South Carolina,4894834,399,394,312,44.4,8.2,8.0,6.4
South Dakota,857919,32,27,12,35.0,3.7,3.1,1.4
Tennessee,6595056,406,402,297,39.4,6.2,6.1,4.5
Texas,27429639,1316,1276,906,35.7,4.8,4.7,3.3
Utah,2990632,54,54,34,31.9,1.8,1.8,1.1
Vermont,626088,10,10,8,28.8,1.6,1.6,1.3
Virginia,8367587,383,383,275,29.3,4.6,4.6,3.3
Washington,7160290,211,209,141,27.7,2.9,2.9,2.0
West Virginia,1841053,70,57,30,54.2,3.8,3.1,1.6
Wisconsin,5767891,240,238,170,34.7,4.2,4.1,2.9
Wyoming,586107,16,16,10,53.8,2.7,2.7,1.7
