State,Total Murders,Total Firearms,Handguns,Rifles,Shotguns,Unknown Firearms,Knives,Other Weapons,Hands/Feet/etc,Total Population,Murders and Nonnegligent Manslaughter,Gun Ownership (%),Murders and Nonnegligent Manslaughter Rate (%),Murder Rate (%),Gun Murder Rate (%)
Alabama,3,3,1,0,1,1,0,0,0,4853875.0,348.0,48.9,7.2,0.1,0.1
Alaska,57,39,12,2,1,24,7,8,3,737709.0,59.0,61.7,8.0,7.7,5.3
Arizona,278,171,128,4,3,36,42,55,10,6817565.0,309.0,32.3,4.5,4.1,2.5
Arkansas,164,110,51,10,4,45,18,30,6,2977853.0,181.0,57.9,6.1,5.5,3.7
California,"1,861","1,275",855,34,33,353,263,233,90,38993940.0,1861.0,20.1,4.8,4.8,3.3
Colorado,176,115,65,12,6,32,25,19,17,5448819.0,176.0,34.3,3.2,3.2,2.1
Connecticut,107,73,29,0,2,42,16,9,9,3584730.0,117.0,16.6,3.3,3.0,2.0
Delaware,63,52,26,0,0,26,6,3,2,944076.0,63.0,5.2,6.7,6.7,5.5
District of Columbia,162,121,65,1,0,55,28,8,5,670377.0,162.0,25.9,24.2,24.2,18.0
Georgia,565,464,394,16,10,44,38,60,3,10199398.0,615.0,31.6,6.0,5.5,4.5
Hawaii,19,4,1,1,0,2,6,2,7,1425157.0,19.0,45.1,1.3,1.3,0.3
Idaho,30,24,17,4,0,3,3,3,0,1652828.0,32.0,56.9,1.9,1.8,1.5
Illinois,497,440,431,2,1,6,29,25,3,12839047.0,744.0,26.2,5.8,3.9,3.4
Indiana,272,209,147,9,5,48,22,29,12,6612768.0,373.0,33.8,5.6,4.1,3.2
Iowa,72,49,31,0,2,16,10,5,8,3121997.0,72.0,33.8,2.3,2.3,1.6
Kansas,125,91,51,4,4,32,9,14,11,2906721.0,128.0,32.2,4.4,4.3,3.1
Kentucky,209,141,91,1,9,40,30,26,12,4424611.0,209.0,42.4,4.7,4.7,3.2
Louisiana,474,379,207,7,9,156,46,43,6,4668960.0,481.0,44.5,10.3,10.2,8.1
Maine,23,16,15,0,0,1,3,1,3,1329453.0,23.0,22.6,1.7,1.7,1.2
Maryland,372,279,266,3,3,7,44,33,16,5994983.0,516.0,20.7,8.6,6.2,4.7
Massachusetts,126,81,33,1,0,47,27,11,7,6784240.0,128.0,22.6,1.9,1.9,1.2
Michigan,571,389,148,10,10,221,52,103,27,9917715.0,571.0,28.8,5.8,5.8,3.9
Minnesota,133,79,47,6,9,17,21,23,10,5482435.0,133.0,36.7,2.4,2.4,1.4
Mississippi,159,126,102,3,5,16,11,14,8,2989390.0,259.0,42.8,8.7,5.3,4.2
Missouri,499,418,233,12,11,162,26,40,15,6076204.0,502.0,27.1,8.3,8.2,6.9
Montana,36,18,13,0,0,5,8,3,7,1032073.0,36.0,52.3,3.5,3.5,1.7
Nebraska,61,43,41,1,1,0,9,8,1,1893765.0,62.0,19.8,3.3,3.2,2.3
Nevada,177,113,17,1,1,94,25,30,9,2883758.0,178.0,37.5,6.2,6.1,3.9
New Hampshire,14,8,4,0,0,4,6,0,0,1330111.0,14.0,14.4,1.1,1.1,0.6
New Jersey,353,255,200,3,0,52,38,41,19,8935421.0,363.0,11.3,4.1,4.0,2.9
New Mexico,94,56,14,1,2,39,18,19,1,2080328.0,117.0,49.9,5.6,4.5,2.7
New York,611,383,331,1,5,46,104,104,20,19747183.0,609.0,10.3,3.1,3.1,1.9
North Carolina,506,353,235,10,21,87,41,77,35,10035186.0,517.0,28.7,5.2,5.0,3.5
North Dakota,17,9,5,0,0,4,3,1,4,756835.0,21.0,47.9,2.8,2.2,1.2
Ohio,480,316,184,12,7,113,39,103,22,11605090.0,500.0,19.6,4.3,4.1,2.7
Oklahoma,233,149,113,8,9,19,33,32,19,3907414.0,234.0,31.2,6.0,6.0,3.8
Oregon,71,34,17,1,5,11,12,22,3,4024634.0,99.0,26.6,2.5,1.8,0.8
Pennsylvania,651,497,386,10,11,90,65,67,22,12791904.0,658.0,27.1,5.1,5.1,3.9
Rhode Island,27,10,3,0,1,6,10,6,1,1055607.0,29.0,5.8,2.7,2.6,0.9
South Carolina,394,312,201,7,10,94,34,34,14,4894834.0,399.0,44.4,8.2,8.0,6.4
South Dakota,27,12,5,1,5,1,8,2,5,857919.0,32.0,35.0,3.7,3.1,1.4
Tennessee,402,297,204,13,7,73,40,51,14,6595056.0,406.0,39.4,6.2,6.1,4.5
Texas,"1,276",906,610,19,36,241,146,135,89,27429639.0,1316.0,35.7,4.8,4.7,3.3
Utah,54,34,26,2,0,6,5,6,9,2990632.0,54.0,31.9,1.8,1.8,1.1
Vermont,10,8,2,4,0,2,0,1,1,626088.0,10.0,28.8,1.6,1.6,1.3
Virginia,383,275,148,6,7,114,51,43,14,8367587.0,383.0,29.3,4.6,4.6,3.3
Washington,209,141,84,3,5,49,18,36,14,7160290.0,211.0,27.7,2.9,2.9,2.0
West Virginia,57,30,19,1,1,9,6,17,4,1841053.0,70.0,54.2,3.8,3.1,1.6
Wisconsin,238,170,122,5,4,39,37,25,6,5767891.0,240.0,34.7,4.2,4.1,2.9
Wyoming,16,10,4,0,3,3,2,3,1,586107.0,16.0,53.8,2.7,2.7,1.7
Guam,6,3,1,0,0,2,1,2,0,,,,,,
