State,Incident ID,Date,City or County,Killed,Injured
Oklahoma,274168,2015-01-01,Tulsa,0,2
Louisiana,276211,2015-01-01,Labadieville,1,0
Mississippi,272302,2015-01-01,Hattiesburg,0,0
Alabama,272482,2015-01-01,Bessemer,0,2
Illinois,272487,2015-01-01,Chicago,0,1
Illinois,272493,2015-01-01,Chicago,0,1
Illinois,272490,2015-01-01,Chicago,0,2
New Jersey,273244,2015-01-01,Plainfield,1,0
Illinois,273893,2015-01-01,Chicago,0,1
Indiana,272702,2015-01-01,Lafayette,0,0
Illinois,273896,2015-01-01,Chicago,0,2
Ohio,271939,2015-01-01,Cleveland,0,0
Tennessee,272502,2015-01-01,Chattanooga,0,1
Nebraska,272925,2015-01-01,Omaha,0,0
North Carolina,272091,2015-01-01,Ash,0,0
North Carolina,272097,2015-01-01,Charlotte,1,2
New York,275120,2015-01-01,Jamestown,0,0
Maryland,273564,2015-01-01,Baltimore,0,0
Illinois,798667,2015-01-01,Peoria,0,0
North Carolina,272109,2015-01-01,Charlotte,0,1
Mississippi,272111,2015-01-01,Columbus,1,0
Massachusetts,298373,2015-01-01,Richmond,0,0
Nevada,271951,2015-01-01,Las Vegas,1,0
District of Columbia,272865,2015-01-01,Washington,0,1
Florida,272477,2015-01-01,Orlando,0,2
District of Columbia,272873,2015-01-01,Washington,0,1
California,271979,2015-01-01,Grand Terrace,1,2
Oklahoma,272467,2015-01-01,Tulsa,0,2
Illinois,271947,2015-01-01,Chicago,0,1
South Dakota,272977,2015-01-01,Sioux Falls,0,0
Indiana,272721,2015-01-01,Terre Haute,0,1
New Jersey,273236,2015-01-01,Jersey City,0,1
Pennsylvania,273937,2015-01-01,Chester,1,0
Pennsylvania,272960,2015-01-01,Chester,1,0
Ohio,272519,2015-01-01,Toledo,0,1
Ohio,272737,2015-01-01,Toledo,0,1
Missouri,272921,2015-01-01,Saint Louis,0,1
South Carolina,273108,2015-01-01,Hilton Head Island,0,0
Washington,273231,2015-01-01,Concrete,1,0
California,272551,2015-01-01,Merced,1,0
California,272555,2015-01-01,Seaside,0,0
Connecticut,272218,2015-01-01,Bridgeport,0,2
Indiana,272281,2015-01-01,Hammond,1,2
Virginia,273115,2015-01-01,Covington,0,1
Pennsylvania,273336,2015-01-01,Philadelphia,0,1
